Name,SMILES,Flavor type,Data resource
Conessine hydrobromide,Br.Br.CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,Bitter,"BitterSweet, PlantMolecularTasteDB, BitterDB, ChemTasteDB"
Arecoline hydrobromide,Br.COC(=O)C1=CCCN(C)C1,Bitter,"BitterSweet, BitterDB, ChemTasteDB"
"(2E,7Z)-N-isobutyl-2,7-tridecadiene-10,12-diynamide",C#CC#CCC=CCCCC=CC(=O)NCC(C)C,Pungent,PlantMolecularTasteDB
"2E-N-(2-methylbutyl)-2-undecene-8,10-diynamide",C#CC#CCCCCC=CC(=O)NCC(C)CC,"Bitter, Astringent",PlantMolecularTasteDB
CID 10467862,C#CC(OCC)OC1OC(CO)C(O)C(O)C1O,Sweet,FlavorDB
SCHEMBL2614779,C#CC1OC(O)C(O)C(O)C1O,Sweet,FlavorDB
CID 10736573,C#CC1OC(OC2C(CO)OC(OC)C(O)C2O)C(O)C(O)C1O,Sweet,FlavorDB
CID 10641574,C#CC1OC(OCC2OC(OC)C(O)C(O)C2O)C(O)C(O)C1O,Sweet,FlavorDB
Avocadyne,C#CCCCCCCCCCCCC(O)CC(O)CO,Bitter,"PlantMolecularTasteDB, BitterDB, ChemTasteDB"
"1-Acetoxy-2,4-dihydroxyheptadeca-16-yne",C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,Bitter,"BitterDB, ChemTasteDB"
Methyl 3-O-propargyl-alpha-D-glucopyranoside,C#CCOC1C(O)C(CO)OC(OC)C1O,Sweet,FlavorDB
CID 20764115,C#CCOC1C(O)CC(OCC)OC1C,Sweet,FlavorDB
CID 44130951,C#CCOC1C(OC2OC(CO)C(O)C(OCC#C)C2OCC#C)OC(CO)C(O)C1OCC#C,Sweet,FlavorDB
SCHEMBL5049987,C#CCOC1OC(CO)C(O)C(O)C1O,Sweet,FlavorDB
Propargyl 4-O-(beta-D-galactopyranosyl)-beta-D-glucopyranoside,C#CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Sweet,FlavorDB
"1-O-Methyl-2-O,6-O-dipropargyl-alpha-D-galactopyranose",C#CCOCC1OC(OC)C(OCC#C)C(O)C1O,Sweet,FlavorDB
